product_type,external_temp,current_room_temp,humidity,volume_kg,packaging_type,storage_time_hr,airflow_rating,ideal_room_temp
milk,28.47,18.98,40.32,52.77,glass,36.8,good,2.69
ice-cream,42.93,17.92,62.45,77.95,plastic,15.1,good,-18.44
flavored_beverage,26.28,11.81,87.25,45.57,tetrapack,63.2,moderate,6.0
flavored_beverage,26.08,19.63,42.62,2.41,tetrapack,25.3,moderate,6.03
milk,28.17,15.05,75.03,25.73,plastic,59.7,moderate,2.47
curd,28.18,2.82,47.3,94.81,glass,62.0,good,3.1
flavored_beverage,27.87,19.41,70.57,61.6,tetrapack,10.7,moderate,4.99
flavored_beverage,41.82,11.34,73.21,72.91,plastic,30.1,poor,6.43
milk,30.2,1.4,46.69,77.39,plastic,37.4,moderate,3.15
flavored_beverage,38.59,2.13,74.16,32.87,glass,53.0,poor,4.31
cheese,34.72,15.88,41.92,59.75,tetrapack,57.9,good,7.65
cheese,37.87,3.68,32.92,38.61,metal,53.5,poor,9.75
butter,22.5,3.85,59.02,32.48,glass,66.1,good,6.54
butter,40.84,7.24,78.15,69.82,glass,10.5,good,6.41
cheese,31.07,6.13,59.32,72.17,glass,15.8,poor,7.93
flavored_beverage,21.66,9.61,53.65,38.02,metal,41.4,good,4.14
ice-cream,28.57,11.83,70.22,96.41,plastic,8.7,moderate,-18.23
cheese,37.72,3.02,34.39,99.92,metal,26.3,good,8.26
butter,37.11,4.47,48.97,64.57,plastic,39.4,poor,6.03
ice-cream,41.36,19.32,40.92,32.42,tetrapack,41.4,poor,-18.11
curd,28.58,13.06,50.09,8.61,plastic,8.8,poor,3.81
milk,21.91,7.88,62.39,63.08,metal,27.1,poor,3.36
butter,40.51,11.35,79.2,40.19,tetrapack,69.4,good,5.9
butter,31.83,11.31,46.08,67.71,plastic,48.4,poor,6.65
ice-cream,36.4,16.03,51.72,71.01,tetrapack,70.6,moderate,-17.54
cheese,42.63,0.17,81.84,89.48,tetrapack,63.6,good,9.84
cheese,25.41,12.5,50.49,68.11,plastic,28.4,good,8.17
flavored_beverage,44.37,0.33,31.38,81.63,glass,60.2,good,5.66
curd,39.45,16.76,79.19,38.18,tetrapack,48.5,moderate,3.84
cheese,33.76,17.12,56.69,85.68,plastic,59.3,moderate,8.59
flavored_beverage,34.52,0.96,34.74,25.79,tetrapack,59.5,moderate,5.55
milk,31.05,2.3,45.15,68.94,metal,64.1,moderate,3.25
cheese,31.24,4.43,34.79,84.41,plastic,31.1,moderate,8.17
ice-cream,34.0,10.82,86.93,95.27,tetrapack,32.3,poor,-18.43
flavored_beverage,38.1,8.17,52.85,38.85,metal,55.2,moderate,6.08
curd,24.79,15.2,87.25,79.68,tetrapack,37.8,poor,5.09
cheese,28.99,6.0,52.83,84.77,glass,68.8,poor,9.27
butter,28.49,3.11,73.49,40.96,metal,32.6,poor,6.95
flavored_beverage,38.12,19.21,47.58,99.95,tetrapack,60.8,moderate,4.84
milk,42.23,9.14,55.52,60.5,plastic,68.0,good,3.97
cheese,24.9,18.52,57.18,92.24,tetrapack,15.8,moderate,7.71
milk,32.31,19.72,85.69,74.96,plastic,42.8,poor,4.34
flavored_beverage,41.39,13.77,66.4,81.98,tetrapack,41.7,moderate,4.91
cheese,24.35,13.64,30.37,1.32,metal,17.6,moderate,9.69
curd,25.82,17.82,69.92,37.25,metal,41.9,poor,4.87
ice-cream,28.55,19.97,55.61,4.81,metal,14.3,good,-17.47
curd,39.92,16.94,80.44,24.87,metal,48.9,poor,3.94
cheese,26.55,9.42,51.53,47.4,tetrapack,7.0,poor,8.53
cheese,33.82,10.42,62.6,37.94,glass,34.0,poor,8.91
flavored_beverage,35.6,0.66,64.89,7.93,glass,21.0,poor,4.6
cheese,40.38,14.75,59.82,82.01,glass,47.1,poor,10.25
flavored_beverage,23.9,9.08,75.09,22.61,metal,57.4,poor,4.96
milk,26.35,8.1,39.84,13.2,plastic,54.4,moderate,3.32
butter,38.1,0.17,83.32,85.05,plastic,70.4,poor,5.57
curd,26.26,4.94,66.07,32.26,metal,12.0,poor,4.81
butter,33.13,11.96,88.14,11.43,plastic,66.5,moderate,5.76
flavored_beverage,28.0,12.89,63.11,25.93,metal,21.6,poor,6.09
cheese,44.52,17.87,33.03,82.71,glass,27.7,moderate,8.79
milk,26.4,10.15,77.6,87.08,glass,18.7,poor,3.37
milk,39.98,10.7,67.91,43.71,plastic,64.5,poor,4.01
flavored_beverage,35.89,16.64,47.37,85.53,glass,6.0,poor,5.91
butter,44.27,17.8,75.56,29.59,glass,34.1,poor,5.88
ice-cream,25.57,4.21,39.1,75.73,glass,21.0,moderate,-17.66
flavored_beverage,40.53,14.84,45.08,39.39,glass,55.5,good,6.15
cheese,21.49,5.56,49.61,89.97,glass,20.6,poor,9.74
milk,23.44,4.78,70.63,87.81,tetrapack,58.2,poor,3.08
flavored_beverage,31.04,13.1,88.05,77.53,metal,15.3,good,5.3
milk,39.77,14.46,85.27,34.35,metal,35.3,poor,4.02
curd,31.04,16.97,87.6,86.22,tetrapack,16.7,moderate,4.43
curd,34.29,16.52,75.76,98.52,tetrapack,47.2,moderate,3.85
ice-cream,35.79,19.02,64.72,33.66,plastic,42.5,poor,-18.81
curd,28.65,9.08,42.24,67.3,tetrapack,30.5,poor,3.31
curd,44.59,11.04,54.53,68.37,glass,63.3,good,4.03
cheese,44.21,3.51,62.13,42.56,tetrapack,34.2,poor,7.99
milk,36.91,2.23,35.23,34.39,tetrapack,16.8,poor,3.31
flavored_beverage,25.32,11.57,86.16,20.94,metal,32.7,moderate,5.54
flavored_beverage,40.46,11.84,42.29,27.2,glass,23.5,poor,4.93
milk,30.36,8.53,87.11,8.58,plastic,1.2,good,3.56
milk,36.35,6.45,88.88,58.1,metal,52.5,good,4.0
butter,34.82,6.95,35.93,48.23,glass,30.5,good,7.02
flavored_beverage,25.57,19.95,75.38,97.57,metal,7.7,moderate,4.78
cheese,39.44,1.32,43.56,15.98,metal,70.3,poor,7.7
butter,27.37,4.82,74.14,87.65,plastic,4.0,poor,5.78
curd,32.59,12.41,45.27,91.32,plastic,5.9,good,5.09
butter,29.28,15.91,37.06,37.87,tetrapack,69.8,poor,5.43
curd,29.46,6.49,54.67,20.17,tetrapack,27.8,good,4.77
curd,27.84,5.02,70.06,63.89,metal,53.3,good,4.76
ice-cream,30.1,16.12,44.0,87.09,tetrapack,34.7,poor,-19.01
curd,33.82,14.68,68.47,39.8,metal,35.9,good,3.51
milk,42.4,3.08,64.86,40.79,tetrapack,34.3,good,3.0
curd,22.17,4.58,60.43,67.6,tetrapack,42.0,poor,4.27
flavored_beverage,25.68,0.19,40.33,74.95,tetrapack,9.3,poor,5.71
butter,31.04,4.48,55.45,60.84,glass,3.5,poor,5.91
flavored_beverage,41.19,9.01,66.43,27.17,metal,15.2,good,4.75
ice-cream,25.67,3.01,58.55,30.01,tetrapack,38.0,poor,-18.04
curd,24.52,2.03,65.82,28.81,plastic,9.7,poor,4.13
cheese,29.28,1.44,56.74,11.72,metal,9.4,poor,9.31
curd,21.66,8.13,50.91,42.06,glass,58.0,moderate,4.52
flavored_beverage,34.59,7.86,88.58,20.78,tetrapack,54.2,good,5.9
butter,39.51,12.62,60.87,79.29,glass,3.2,good,5.8
cheese,23.38,13.11,83.86,39.95,tetrapack,52.5,moderate,7.89
flavored_beverage,40.32,5.73,80.4,44.04,metal,59.4,good,5.95
curd,31.29,18.66,52.68,49.07,tetrapack,43.6,moderate,3.62
cheese,29.4,18.22,39.21,59.6,plastic,54.0,poor,9.58
cheese,44.42,2.25,70.25,43.5,tetrapack,44.7,moderate,8.82
flavored_beverage,42.31,16.12,50.77,14.59,plastic,32.9,good,5.0
butter,44.51,6.58,65.72,77.66,plastic,23.9,good,6.01
cheese,44.2,17.21,46.44,12.28,tetrapack,55.9,moderate,9.43
curd,21.54,17.81,89.89,75.3,plastic,35.9,good,5.3
milk,27.89,16.39,55.65,8.7,tetrapack,8.5,poor,4.01
cheese,25.21,14.49,65.54,8.81,metal,41.7,moderate,8.28
curd,33.03,2.93,36.4,81.57,tetrapack,34.7,moderate,4.79
milk,30.53,11.68,62.44,89.17,tetrapack,4.5,poor,3.69
flavored_beverage,44.56,1.54,43.37,34.29,metal,68.8,good,5.96
milk,30.91,8.64,60.58,82.01,tetrapack,23.5,good,2.64
flavored_beverage,44.3,13.28,58.28,45.66,metal,60.1,moderate,5.39
butter,23.92,15.07,41.4,14.33,metal,37.6,good,6.42
butter,41.69,0.69,80.38,9.6,metal,2.6,good,5.97
butter,30.19,11.63,42.31,57.62,metal,49.3,moderate,6.54
cheese,33.0,2.38,52.8,28.72,glass,69.3,good,9.84
cheese,40.67,5.38,30.43,17.49,plastic,24.0,poor,9.67
curd,25.46,9.89,37.92,23.56,glass,38.2,moderate,3.16
cheese,30.38,14.59,57.94,48.96,glass,61.6,good,9.45
cheese,21.6,16.81,51.99,72.65,tetrapack,40.6,poor,10.07
milk,27.22,5.9,78.52,2.43,glass,17.3,good,3.15
milk,41.1,3.52,74.64,59.86,glass,47.8,poor,4.04
flavored_beverage,34.24,16.03,81.26,47.84,glass,48.0,moderate,6.03
curd,22.3,14.95,72.62,29.06,plastic,33.9,moderate,3.69
flavored_beverage,37.41,17.45,85.03,62.71,glass,40.4,good,6.02
cheese,36.91,4.7,78.87,39.48,glass,71.3,good,9.81
curd,20.27,9.53,71.17,25.06,plastic,55.5,moderate,4.43
milk,28.02,13.91,52.02,5.58,glass,28.3,good,2.47
cheese,26.67,2.08,40.38,89.62,metal,16.5,poor,7.43
curd,34.35,12.95,66.69,9.27,plastic,19.2,good,4.38
butter,28.58,0.14,56.13,5.09,glass,34.2,moderate,5.75
ice-cream,33.42,3.26,59.53,21.86,plastic,32.2,moderate,-18.19
flavored_beverage,23.43,16.79,58.86,4.48,metal,69.9,poor,5.15
ice-cream,32.02,5.13,33.73,66.52,tetrapack,17.9,poor,-17.69
butter,24.19,14.92,52.14,46.02,metal,12.0,moderate,6.29
cheese,37.83,6.23,82.81,85.78,plastic,22.0,good,8.14
butter,32.51,11.37,71.17,95.51,plastic,16.9,moderate,6.91
cheese,43.83,0.24,69.75,30.86,tetrapack,22.0,moderate,7.81
curd,38.99,17.25,89.36,55.48,plastic,63.5,poor,4.04
curd,26.8,10.61,48.87,40.24,metal,13.8,moderate,4.17
cheese,20.46,16.03,56.23,94.19,metal,41.7,good,8.12
ice-cream,41.52,3.85,50.26,17.93,glass,64.6,moderate,-19.29
ice-cream,43.12,2.3,73.53,18.68,tetrapack,63.0,moderate,-17.38
flavored_beverage,33.28,13.9,52.18,50.2,glass,4.6,poor,5.05
flavored_beverage,28.68,8.32,32.29,55.5,glass,71.6,moderate,4.19
curd,29.54,17.57,31.07,43.85,metal,56.7,good,4.9
ice-cream,36.47,18.75,72.37,77.86,plastic,13.3,poor,-17.77
butter,37.67,0.49,70.27,74.19,plastic,2.8,poor,6.33
curd,35.33,18.72,34.91,3.65,plastic,9.6,good,3.65
curd,22.14,8.61,43.2,30.85,glass,2.3,poor,4.46
ice-cream,41.77,15.56,85.57,83.77,glass,17.2,poor,-18.29
curd,37.4,2.43,49.74,96.1,plastic,29.3,poor,4.41
ice-cream,30.85,11.26,66.36,82.17,metal,56.5,moderate,-17.6
ice-cream,44.16,5.47,36.43,17.33,tetrapack,6.4,poor,-18.5
flavored_beverage,34.58,18.72,65.37,26.61,metal,55.3,good,4.96
ice-cream,36.68,10.57,37.07,46.46,tetrapack,34.9,poor,-18.69
curd,37.78,6.69,79.87,1.34,plastic,70.5,poor,4.83
cheese,31.34,6.09,67.64,68.4,plastic,54.5,moderate,8.51
curd,44.05,0.35,43.61,6.96,tetrapack,32.9,good,3.64
flavored_beverage,37.46,18.79,66.93,96.49,tetrapack,16.6,good,5.24
flavored_beverage,31.66,10.08,40.74,52.21,metal,70.8,poor,5.69
ice-cream,40.37,19.01,81.9,26.82,plastic,5.1,good,-18.83
milk,39.13,1.49,38.89,63.57,plastic,25.7,good,2.55
cheese,38.36,12.69,54.46,5.34,plastic,11.3,moderate,7.4
milk,40.24,13.01,76.91,32.09,tetrapack,16.1,good,4.2
cheese,22.77,15.54,39.43,62.46,metal,35.6,poor,7.26
curd,38.92,5.45,41.91,63.01,tetrapack,4.2,poor,4.68
cheese,20.45,9.03,44.01,58.52,plastic,21.0,moderate,7.78
flavored_beverage,34.57,12.63,83.82,94.93,plastic,28.1,moderate,6.33
flavored_beverage,25.29,17.05,43.71,36.58,glass,35.6,moderate,4.57
ice-cream,44.76,5.09,47.97,29.51,metal,50.8,poor,-17.89
cheese,40.87,3.13,64.16,77.45,glass,12.8,moderate,8.0
flavored_beverage,41.38,12.32,74.25,37.17,glass,43.6,moderate,6.2
milk,22.72,13.43,71.03,18.01,glass,20.2,poor,2.31
butter,20.25,4.94,34.17,37.14,tetrapack,33.5,poor,6.69
milk,22.64,8.97,61.71,21.34,glass,39.8,moderate,3.58
milk,44.56,15.01,73.82,20.93,metal,25.9,poor,2.64
milk,36.07,1.47,73.97,11.47,tetrapack,39.4,poor,3.68
flavored_beverage,39.51,12.78,67.85,6.6,tetrapack,53.3,poor,5.78
ice-cream,39.74,7.18,46.49,10.29,tetrapack,39.0,good,-17.7
milk,29.3,16.67,36.91,19.43,plastic,42.8,moderate,3.45
cheese,29.1,9.32,40.66,67.12,glass,14.3,moderate,8.4
curd,36.58,16.39,39.17,16.08,glass,19.8,poor,3.96
cheese,30.25,13.78,33.93,68.05,metal,32.2,moderate,8.16
cheese,44.49,15.24,85.4,79.4,glass,2.8,moderate,7.64
curd,22.78,11.72,79.56,38.16,metal,55.9,poor,4.0
milk,25.45,17.31,62.48,88.33,plastic,69.9,poor,2.78
ice-cream,25.63,13.15,65.92,70.35,glass,32.1,poor,-18.1
curd,22.9,12.72,44.11,43.41,plastic,1.5,moderate,3.96
cheese,43.01,9.35,55.02,18.01,metal,12.3,moderate,9.73
milk,26.23,7.62,38.33,88.06,metal,32.4,moderate,2.7
flavored_beverage,26.39,9.72,53.72,18.41,plastic,9.0,poor,4.59
ice-cream,32.67,17.04,69.06,78.33,metal,47.1,poor,-17.64
ice-cream,33.45,12.28,72.93,81.54,plastic,61.6,moderate,-18.0
flavored_beverage,31.2,4.35,60.58,33.23,glass,64.1,good,5.53
ice-cream,21.51,7.1,45.86,29.83,plastic,46.8,poor,-19.19
ice-cream,27.55,9.37,50.37,83.93,plastic,35.8,good,-19.26
curd,32.28,17.76,86.13,35.59,glass,53.2,good,3.65
flavored_beverage,29.82,9.53,42.93,96.65,tetrapack,69.1,good,4.75
curd,37.44,7.01,68.14,85.17,tetrapack,18.1,poor,3.34
ice-cream,22.18,3.41,51.67,19.28,metal,34.2,good,-18.07
cheese,20.67,4.88,41.13,82.3,tetrapack,49.7,moderate,7.5
curd,20.07,15.16,43.01,67.59,metal,32.5,moderate,4.1
flavored_beverage,30.68,11.19,45.07,76.87,plastic,11.8,moderate,4.32
curd,27.86,19.45,36.74,44.59,metal,18.4,moderate,4.55
curd,34.3,6.49,49.37,24.09,tetrapack,3.3,poor,3.86
milk,42.52,8.96,61.0,73.27,plastic,49.1,good,4.0
milk,26.94,3.04,72.86,97.04,glass,64.3,poor,2.77
cheese,23.03,15.06,71.14,13.8,tetrapack,33.6,poor,8.07
cheese,33.64,19.49,66.36,26.25,metal,66.3,poor,9.15
milk,33.91,13.38,50.73,24.44,glass,28.0,moderate,3.74
curd,44.87,12.67,79.1,26.12,plastic,46.5,poor,5.0
ice-cream,43.59,9.5,78.98,76.15,plastic,30.3,good,-18.37
cheese,25.09,15.2,46.36,79.45,tetrapack,34.2,moderate,9.78
flavored_beverage,32.46,5.73,84.19,5.22,plastic,66.0,good,5.75
curd,32.6,3.65,54.24,16.79,plastic,48.5,moderate,4.32
cheese,20.66,1.69,38.72,40.65,tetrapack,44.7,good,7.96
ice-cream,42.93,10.21,88.68,59.14,tetrapack,30.1,good,-17.63
milk,37.59,1.95,76.13,60.54,plastic,21.8,moderate,3.54
milk,31.14,16.53,74.38,14.28,tetrapack,9.2,poor,3.82
butter,33.92,7.44,64.39,70.87,glass,51.1,good,6.22
curd,43.3,10.98,79.02,6.85,glass,71.6,poor,3.88
flavored_beverage,35.64,6.6,84.48,41.41,metal,24.8,poor,5.67
ice-cream,22.03,12.36,64.87,54.01,metal,11.5,moderate,-19.03
flavored_beverage,34.26,12.24,79.25,10.6,plastic,59.6,moderate,4.94
curd,34.05,17.82,38.73,10.49,metal,37.5,poor,3.87
ice-cream,32.53,10.38,37.33,82.12,metal,62.1,moderate,-17.84
milk,40.3,13.35,32.36,22.24,tetrapack,56.4,good,3.96
butter,31.79,1.85,86.8,79.21,metal,27.4,poor,7.12
milk,39.59,0.63,71.53,86.43,tetrapack,9.9,good,2.34
cheese,31.39,5.51,39.85,73.15,plastic,49.5,good,9.81
cheese,21.68,17.54,43.35,33.6,tetrapack,35.8,poor,8.81
butter,21.08,16.12,49.18,92.45,glass,22.3,moderate,5.96
butter,36.66,17.44,40.48,73.26,plastic,20.6,moderate,6.45
cheese,26.43,5.53,56.41,71.28,tetrapack,21.9,poor,7.99
flavored_beverage,24.27,9.6,35.61,87.81,metal,41.1,good,5.8
curd,26.5,15.56,36.71,1.4,tetrapack,8.9,moderate,3.4
flavored_beverage,25.61,6.52,82.25,96.04,glass,17.6,moderate,6.1
curd,26.8,7.76,55.45,47.74,glass,35.5,good,3.66
milk,43.0,0.67,54.83,51.64,plastic,58.1,poor,2.53
curd,42.14,13.05,50.48,98.24,metal,60.2,moderate,5.13
cheese,43.25,18.3,36.64,8.74,metal,48.3,poor,9.05
ice-cream,35.67,15.15,79.67,36.85,plastic,27.3,moderate,-18.36
milk,20.99,7.88,48.28,59.37,plastic,71.9,poor,2.26
milk,44.42,1.61,58.67,13.81,glass,13.0,moderate,2.73
ice-cream,27.34,15.96,48.89,71.27,glass,17.4,moderate,-18.89
flavored_beverage,23.94,15.17,68.35,9.26,glass,56.6,good,5.69
curd,36.39,14.48,43.33,79.92,tetrapack,16.5,moderate,4.62
cheese,23.51,8.46,87.81,36.9,plastic,58.4,good,7.26
butter,24.85,16.34,36.33,85.71,tetrapack,50.7,poor,5.43
butter,23.68,5.92,58.11,8.86,glass,69.8,moderate,6.42
ice-cream,40.31,7.53,84.43,93.79,plastic,5.8,poor,-18.48
butter,20.39,11.69,49.73,65.62,metal,35.7,moderate,5.77
flavored_beverage,26.65,7.54,67.55,23.81,plastic,68.5,good,5.85
flavored_beverage,28.57,8.33,35.48,51.43,metal,7.4,moderate,4.59
curd,24.44,1.29,31.02,80.73,metal,65.1,good,3.72
flavored_beverage,32.01,13.65,62.6,42.78,plastic,64.7,moderate,5.89
curd,35.7,12.76,52.27,96.45,metal,52.6,moderate,3.81
milk,28.47,6.9,59.12,38.59,tetrapack,45.2,moderate,3.88
curd,33.85,3.38,46.25,16.57,glass,37.8,moderate,3.29
cheese,21.85,0.44,66.47,75.22,plastic,26.7,poor,8.41
ice-cream,34.92,13.73,82.75,85.39,metal,8.9,good,-17.71
butter,20.4,7.42,54.14,76.01,metal,63.5,moderate,5.41
